problem,algorithm,params,best fitness,best iterations,best time,best fevals,,,,,,,,,,
CONTPEAKS,GA,"['100', '50', '30']",98,4660,0.417843338,294412,,,,,,,,,,
CONTPEAKS,MIMIC,"['100', '50', '0.5']",96,4040,30.12700223,445400,,,,,Algorithm,Tuned Parameters,Best Fitnesss,Iterations,Time,Fitness Function Calls
CONTPEAKS,RHC,[],98,3810,0.03413844,3821,,,,,GA,"['100', '50', '30']",94.33,4660,,
CONTPEAKS,SA,['0.55'],99,3310,0.011558655,3321,,,,,MIMIC,"['100', '50', '0.5']",82.50,4040,,
FLIPFLOP,GA,"['100', '50', '50']",611,2430,1.21755328,170193,,,,,RHC,N/A,96.66,3810,,
FLIPFLOP,MIMIC,"['100', '50', '0.9']",837,1630,1231.248604,180300,,,,,SA,['0.55'],99.00,3310,,
FLIPFLOP,RHC,[],767,2950,0.040783134,2961,,,,,,,,,,
FLIPFLOP,SA,['0.75'],781,2980,0.020977763,2991,,,,,,,,,,
NN,Backprop,"['\\NN', 'Backpro']",0.898761835,690,38.12865205,0,,,,,,,,,,
NN,GA,"['\\NN', 'GA', '50', '10', '2']",0.88905074,410,179.0077922,0,,,,,,,,,,
NN,RHC,"['\\NN', 'RH']",0.899004613,960,22.90751932,0,,,,,,,,,,
NN,SA,"['\\NN', 'SA', '0.3']",0.896212673,960,19.59255539,0,,,,,,,,,,
TSP,GA,"['100', '50', '30']",0.121125861,1700,0.61375989,107872,,,,,,,,,,
TSP,MIMIC,"['100', '50', '0.1']",0.037920787,9800,1595.872776,1079000,,,,,,,,,,
TSP,RHC,[],0.050039449,2920,0.014249935,2931,,,,,,,,,,
TSP,SA,['0.35'],0.056407345,2950,0.013636188,2961,,,,,,,,,,
